LSE InSchedule and NSPL Activity Summary
Customer Account:,Tidal Energy Marketing Inc.,Report Creation Timestamp (EPT):,03/26/2018 11:59:37 AM
Start Month:,"February, 2018",End Month:,"February, 2018"
4000.01,4000.02,4000.03,3002.01,3002.02,4000.07
Customer ID,Customer Code,Month,InSchedule Load In Multiple Zones (Y/N),NSPL In Multiple Zones (Y/N),Version
34211,ASTDAY,"February, 2018",N,,20180201.000
33388,ASTDEO,"February, 2018",N,N,20180201.000
33654,ASTDUQ,"February, 2018",N,N,20180201.000
35835,ASTFEO,"February, 2018",N,,20180201.000
33211,ASTMET,"February, 2018",N,N,20180201.000
33212,ASTPEN,"February, 2018",N,N,20180201.000
32122,ASTRLE,"February, 2018",Y,Y,20180201.000
33213,ASTWPP,"February, 2018",N,N,20180201.000
26502,ATCOE,"February, 2018",Y,Y,20180201.000
34863,ATLMD,"February, 2018",Y,Y,20180201.000
22731,BARCS,"February, 2018",N,N,20180201.000
7802,BATAV,"February, 2018",N,N,20180201.000
21578,BBTLR,"February, 2018",N,N,20180201.000
5,BC,"February, 2018",N,,20180201.000
11262,BEDFRD,"February, 2018",N,N,20180201.000
35886,BFFECI,"February, 2018",,N,20180201.000
35964,BFFEOE,"February, 2018",,N,20180201.000
35754,BFFEOH,"February, 2018",N,,20180201.000
35885,BFFETE,"February, 2018",,N,20180201.000
35755,BFPEPC,"February, 2018",N,N,20180201.000
32778,BFRAPS,"February, 2018",N,N,20180201.000
32709,BFRAWP,"February, 2018",N,N,20180201.000
35753,BFRBGE,"February, 2018",N,N,20180201.000
12378,BGEBM1,"February, 2018",N,N,20180201.000
10787,BGEMDH,"February, 2018",N,N,20180201.000
40583,BLRKAE,"February, 2018",N,,20180201.000
33492,BLRKDQ,"February, 2018",N,N,20180201.000
39403,BLRKJC,"February, 2018",N,N,20180201.000
33433,BLRKME,"February, 2018",N,,20180201.000
33430,BLRKPE,"February, 2018",N,N,20180201.000
33442,BLRKPL,"February, 2018",N,N,20180201.000
33431,BLRKPN,"February, 2018",N,N,20180201.000
33432,BLRKPP,"February, 2018",N,N,20180201.000
38703,BLRKPS,"February, 2018",N,N,20180201.000
33434,BLRKWP,"February, 2018",N,N,20180201.000
17162,BLUAE,"February, 2018",N,N,20180201.000
17358,BLUAEP,"February, 2018",N,N,20180201.000
17165,BLUAMD,"February, 2018",,N,20180201.000
17166,BLUAPA,"February, 2018",N,N,20180201.000
12128,BLUBGE,"February, 2018",N,N,20180201.000
17347,BLUCEI,"February, 2018",N,N,20180201.000
17349,BLUDAY,"February, 2018",N,N,20180201.000
12194,BLUDC,"February, 2018",N,N,20180201.000
17150,BLUDMD,"February, 2018",N,N,20180201.000
44484,BLUDPT,"February, 2018",N,N,20180201.000
17350,BLUDUK,"February, 2018",N,N,20180201.000
16993,BLUDUQ,"February, 2018",N,N,20180201.000
17167,BLUJC,"February, 2018",N,N,20180201.000
44747,BLUME1,"February, 2018",N,N,20180201.000
17352,BLUMED,"February, 2018",N,N,20180201.000
17351,BLUOE,"February, 2018",,N,20180201.000
17354,BLUPAE,"February, 2018",N,N,20180201.000
17168,BLUPE,"February, 2018",N,N,20180201.000
11789,BLUPEP,"February, 2018",N,N,20180201.000
16752,BLUPPL,"February, 2018",N,N,20180201.000
17169,BLUPS,"February, 2018",N,N,20180201.000
10691,BLUSTR,"February, 2018",N,N,20180201.000
17356,BLUTE,"February, 2018",,N,20180201.000
12410,BLVTNJ,"February, 2018",N,N,20180201.000
21576,BMADNJ,"February, 2018",N,N,20180201.000
7342,BOCES,"February, 2018",N,N,20180201.000
565,BOMLTW,"February, 2018",N,N,20180201.000
32953,BPAEP,"February, 2018",N,N,20180201.000
10571,BPBGS,"February, 2018",N,N,20180201.000
29859,BPBGS1,"February, 2018",N,N,20180201.000
39904,BPBGS2,"February, 2018",N,N,20180201.000
29633,BPMED,"February, 2018",N,N,20180201.000
43925,BPPECO,"February, 2018",N,N,20180201.000
29637,BPPNL,"February, 2018",N,N,20180201.000
564,BPRNJ,"February, 2018",N,N,20180201.000
29634,BPWPP,"February, 2018",N,N,20180201.000
11929,BRFRYL,"February, 2018",N,N,20180201.000
20601,BRLNMD,"February, 2018",N,N,20180201.000
11702,BSHNJ,"February, 2018",N,N,20180201.000
609,BSRNJ,"February, 2018",N,N,20180201.000
34854,BTGAFR,"February, 2018",N,N,20180201.000
34047,BTGAOH,"February, 2018",N,N,20180201.000
33237,BTGDOH,"February, 2018",N,N,20180201.000
34117,BTGDPL,"February, 2018",N,N,20180201.000
34855,BTGJCI,"February, 2018",N,N,20180201.000
34856,BTGJFR,"February, 2018",N,N,20180201.000
34688,BTGPPW,"February, 2018",N,N,20180201.000
264,BUCK,"February, 2018",Y,Y,20180201.000
33206,CAPAOH,"February, 2018",N,N,20180201.000
33498,CAPDAY,"February, 2018",N,N,20180201.000
33153,CAPDEO,"February, 2018",N,N,20180201.000
33713,CAPFCE,"February, 2018",,N,20180201.000
33714,CAPFOE,"February, 2018",,N,20180201.000
33715,CAPFTE,"February, 2018",,N,20180201.000
30033,CAPITL,"February, 2018",N,,20180201.000
44398,CCEDOM,"February, 2018",N,N,20180201.000
2237,CE-EA,"February, 2018",Y,Y,20180201.000
