Report Version Availability
Customer Account:,Tidal Energy Marketing Inc.,Report Creation Timestamp (EPT):,03/26/2018 12:00:07 PM
Start Date:,02/01/2018,End Date:,02/28/2018
4000.82,4001.01,4001.02,4000.07,4000.83,4000.84,4000.81
Report Name,Start Date,End Date,Version,Version Timestamp (EPT),Published Status,Report Version Comments
Day-Ahead Scheduling Reserve Credits,02/19/2018,02/19/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Credits,02/20/2018,02/20/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Credits,02/21/2018,02/21/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Credits,02/22/2018,02/22/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Credits,02/23/2018,02/23/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Credits,02/23/2018,02/23/2018,20180301.001,03/15/2018 13:23:48,Available,
Day-Ahead Scheduling Reserve Credits,02/24/2018,02/24/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Credits,02/25/2018,02/25/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Credits,02/26/2018,02/26/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Credits,02/27/2018,02/27/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Credits,02/28/2018,02/28/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/01/2018,02/01/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/02/2018,02/02/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/03/2018,02/03/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/04/2018,02/04/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/05/2018,02/05/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/06/2018,02/06/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/07/2018,02/07/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/08/2018,02/08/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/09/2018,02/09/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/10/2018,02/10/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/11/2018,02/11/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/12/2018,02/12/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/13/2018,02/13/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/14/2018,02/14/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/15/2018,02/15/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/16/2018,02/16/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/17/2018,02/17/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/18/2018,02/18/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/19/2018,02/19/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/20/2018,02/20/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/21/2018,02/21/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/22/2018,02/22/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/23/2018,02/23/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/23/2018,02/23/2018,20180301.001,03/15/2018 13:21:27,Available,
Day-Ahead Scheduling Reserve Summary,02/24/2018,02/24/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/25/2018,02/25/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/26/2018,02/26/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/27/2018,02/27/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Scheduling Reserve Summary,02/28/2018,02/28/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Transmission Service Usage,02/01/2018,02/01/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Transmission Service Usage,02/02/2018,02/02/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Transmission Service Usage,02/03/2018,02/03/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Transmission Service Usage,02/04/2018,02/04/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Transmission Service Usage,02/05/2018,02/05/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Transmission Service Usage,02/06/2018,02/06/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Transmission Service Usage,02/07/2018,02/07/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Transmission Service Usage,02/08/2018,02/08/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Transmission Service Usage,02/09/2018,02/09/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Transmission Service Usage,02/10/2018,02/10/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Transmission Service Usage,02/11/2018,02/11/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Transmission Service Usage,02/12/2018,02/12/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Transmission Service Usage,02/13/2018,02/13/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Transmission Service Usage,02/14/2018,02/14/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Transmission Service Usage,02/15/2018,02/15/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Transmission Service Usage,02/16/2018,02/16/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Transmission Service Usage,02/17/2018,02/17/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Transmission Service Usage,02/18/2018,02/18/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Transmission Service Usage,02/19/2018,02/19/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Transmission Service Usage,02/20/2018,02/20/2018,20180201.000,03/06/2018 14:19:29,Available,
