Monthly Billing Statement Recipients
Customer Account:,"Tidal Energy Marketing Inc.",Report Creation Timestamp (EPT):,03/26/2018 11:59:39 AM
02/01/2018,American Power & Gas of Pennsylvania LLC (Duquesne Light),APGPDU,34408
02/01/2018,American Power & Gas of Pennsylvania LLC (MetEd),APGPME,30581
02/01/2018,American Power & Gas of Pennsylvania LLC (PECO),APGPPE,34409
02/01/2018,American Power & Gas of Pennsylvania LLC (PPL),APGPPL,34407
02/01/2018,American Power & Gas of Pennsylvania LLC (Penelec),APGPPN,30582
02/01/2018,American Power & Gas of Pennsylvania LLC (Penn Power),APGPPP,30583
02/01/2018,American Power & Gas of Pennsylvania LLC (West Penn Power),APGPWP,30584
02/01/2018,"American PowerNet Management, L.P.",APNM,9082
02/01/2018,"American PowerNet Management, L.P. (AECO)",APNMAE,12360
02/01/2018,"American PowerNet Management, L.P. (AEP)",APNAEP,30299
02/01/2018,"American PowerNet Management, L.P. (APS PA)",APNAPS,16730
02/01/2018,"American PowerNet Management, L.P. (APS PA1)",APSPA1,19596
02/01/2018,"American PowerNet Management, L.P. (APS PA2)",APSPA2,37265
02/01/2018,"American PowerNet Management, L.P. (ATSI_FE Ohio Load)",APNATI,39808
02/01/2018,"American PowerNet Management, L.P. (CAP)",APNCAP,34327
02/01/2018,"American PowerNet Management, L.P. (ComEd Load 1)",APNCE1,33721
02/01/2018,"American PowerNet Management, L.P. (ComEd Load 2)",APNCE2,34723
02/01/2018,"American PowerNet Management, L.P. (ComEd Load 3)",APNCE3,34724
02/01/2018,"American PowerNet Management, L.P. (ComEd)",APNCE,25501
02/01/2018,"American PowerNet Management, L.P. (DUQ 1)",APNDQ1,30298
02/01/2018,"American PowerNet Management, L.P. (Dominion)",APNDOM,30855
02/01/2018,"American PowerNet Management, L.P. (Duquesne)",APNDUQ,19710
02/01/2018,"American PowerNet Management, L.P. (E)",APNME,11701
02/01/2018,"American PowerNet Management, L.P. (FE Toledo Load)",APNTOL,40223
02/01/2018,"American PowerNet Management, L.P. (HAR_PPL)",APNHAR,34484
02/01/2018,"American PowerNet Management, L.P. (LAN_MetEd)",APNLAN,34483
02/01/2018,"American PowerNet Management, L.P. (M)",APNMI,11677
02/01/2018,"American PowerNet Management, L.P. (MetEd2)",APNME2,17899
02/01/2018,"American PowerNet Management, L.P. (MetEd3)",APNME3,19593
02/01/2018,"American PowerNet Management, L.P. (MetEd4)",APNME4,19594
02/01/2018,"American PowerNet Management, L.P. (Ohio Edison)",APNOE1,44187
02/01/2018,"American PowerNet Management, L.P. (PE3)",APNPE3,19592
02/01/2018,"American PowerNet Management, L.P. (PE4)",APNPE4,20983
02/01/2018,"American PowerNet Management, L.P. (PE5)",APNPE5,26279
02/01/2018,"American PowerNet Management, L.P. (PEN1)",APNPN1,19595
02/01/2018,"American PowerNet Management, L.P. (PPL)",APNPPL,16729
02/01/2018,"American PowerNet Management, L.P. (PPL2)",APNPL2,17898
