Published Report Versions
Customer Account:,Tidal Energy Marketing Inc.,Report Creation Timestamp (EPT):,03/26/2018 12:00:15 PM
Start Date:,02/01/2018,End Date:,02/28/2018
4000.82,4001.01,4001.02,4000.07,4000.83,4000.81
Report Name,Start Date,End Date,Version,Version Timestamp (EPT),Report Version Comments
Day-Ahead Scheduling Reserve Summary,09/22/2017,09/22/2017,20180101.000,02/07/2018 09:00:03,
Day-Ahead Scheduling Reserve Summary,09/25/2017,09/25/2017,20180101.000,02/07/2018 09:00:03,
Day-Ahead Scheduling Reserve Summary,12/01/2017,12/01/2017,20180101.000,02/07/2018 09:00:03,
Day-Ahead Scheduling Reserve Summary,01/01/2018,01/01/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Scheduling Reserve Summary,01/02/2018,01/02/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Scheduling Reserve Summary,01/03/2018,01/03/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Scheduling Reserve Summary,01/04/2018,01/04/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Scheduling Reserve Summary,01/05/2018,01/05/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Scheduling Reserve Summary,01/06/2018,01/06/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Scheduling Reserve Summary,01/07/2018,01/07/2018,20180101.000,02/07/2018 09:00:03,
